,index,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NBA_PER,NBA_vorp,NBA_bpm,NBA_ws_per_48,NBA_ws,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
131,352,352,/players/b/billuch01.html,Chauncey Billups,1998,2014,G,Colorado,6-3,202.0,"September 25, 1976",0.415,1043,15.2,0.894,4.5,10.9,4.3,4.8,1.8,4.5,0.387,0.495,18.8,43.5,3.2,0.176,120.8,0.413,55.0,18.5,0.857,5.4,13.1,5.6,6.5,2.2,5.7,0.382
132,356,356,/players/b/birdja01.html,Jabari Bird,2018,2018,G,California,6-6,198.0,"July 3, 1994",0.577,13,3.0,0.462,1.2,2.0,0.5,1.0,0.2,0.5,0.429,0.635,12.1,0.0,-3.1,0.098,0.2,0.442,114.0,10.8,0.753,3.9,8.9,1.2,1.6,1.6,4.4,0.371
133,367,367,/players/b/blackta01.html,Tarik Black,2015,2018,C-F,"Memphis, Kansas",6-9,250.0,"November 22, 1991",0.55,220,4.9,0.582,2.0,3.6,0.9,1.5,0.0,0.1,0.143,0.551,14.4,-0.6,-2.7,0.112,7.7,0.614,135.0,8.4,0.555,3.3,5.3,1.8,3.3,0.0,0.0,0.0
134,370,370,/players/b/blackal01.html,Alex Blackwell,1993,1993,F,Monmouth University,6-6,250.0,"June 27, 1970",0.333,27,1.3,0.75,0.5,1.6,0.2,0.3,0.0,0.1,0.0,0.333,8.2,-0.1,-5.7,-0.016,0.0,0.553,86.0,20.3,0.78,7.7,13.9,4.9,6.3,0.0,0.2,0.286
135,375,375,/players/b/blakest01.html,Steve Blake,2004,2016,G,Maryland,6-3,172.0,"February 26, 1980",0.401,870,6.5,0.779,2.4,5.9,0.6,0.7,1.2,3.1,0.383,0.501,11.1,4.2,-1.2,0.067,29.1,0.401,138.0,8.3,0.771,2.7,6.8,1.5,2.0,1.3,3.5,0.381
136,376,376,/players/b/blakean01.html,Antonio Blakeney,2018,2019,G,LSU,6-4,192.0,"October 4, 1996",0.406,76,7.5,0.696,2.9,7.1,1.1,1.5,0.7,1.9,0.357,0.454,10.5,-0.9,-5.2,-0.024,-0.6,0.444,64.0,14.8,0.736,5.2,11.7,2.8,3.8,1.6,4.7,0.347
137,377,377,/players/b/blalowi01.html,Will Blalock,2007,2007,G,Iowa State,6-0,205.0,"September 8, 1983",0.3,14,1.8,1.0,0.6,2.1,0.4,0.4,0.1,0.4,0.2,0.317,4.5,-0.2,-5.8,-0.032,-0.1,0.421,93.0,11.6,0.719,4.2,10.0,2.1,2.9,1.1,2.9,0.365
138,382,382,/players/b/blaylmo01.html,Mookie Blaylock,1990,2002,G,"Midland College, Oklahoma",6-0,180.0,"March 20, 1967",0.409,889,13.5,0.736,5.3,12.9,1.4,1.9,1.4,4.3,0.336,0.465,16.8,39.2,3.0,0.111,71.8,0.457,74.0,18.1,0.668,6.9,15.2,1.9,2.9,2.3,6.0,0.379
139,383,383,/players/b/bledser01.html,Eric Bledsoe,2011,2022,G,Kentucky,6-1,214.0,"December 9, 1989",0.452,756,13.7,0.784,4.9,10.8,2.8,3.6,1.1,3.4,0.336,0.504,17.0,18.8,1.6,0.105,46.1,0.462,37.0,11.3,0.667,3.9,8.4,2.2,3.3,1.3,3.5,0.383
140,384,384,/players/b/blevike01.html,Keljin Blevins,2021,2022,F,"Southern Miss, Montana State",6-4,200.0,"November 24, 1995",0.298,48,2.2,0.545,0.8,2.7,0.1,0.2,0.5,1.7,0.288,0.385,3.8,-0.7,-8.9,-0.079,-0.7,0.399,117.0,7.6,0.645,2.7,6.8,1.8,2.7,0.4,1.6,0.234
